variance,skewness,curtosis,entropy,class
3.8905,-2.1521,2.6302,1.1047,0
-1.3274,9.498,2.4408,-5.2689,0
-1.5222,10.8409,2.7827,-4.0974,0
-2.9786,2.3445,0.52667,-0.40173,1
0.61652,3.8944,-4.7275,-4.3948,1
-1.9667,11.8052,-0.40472,-7.8719,0
3.583,-3.7971,3.4391,-0.12501,0
-1.3414,-1.9162,-0.15538,-0.11984,1
-4.2932,3.3419,0.77258,-0.99785,1
2.0007,1.8644,2.6491,0.47369,0
-1.3968,-9.6698,9.4652,-0.34872,1
-3.0201,-0.67253,2.7056,0.85774,1
3.5127,2.9073,1.0579,0.40774,0
0.66365,-0.045533,-0.18794,0.23447,1
2.6718,5.6574,0.72974,-1.4892,0
-3.7503,-13.4586,17.5932,-2.7771,1
-2.0962,-7.1059,6.6188,-0.33708,1
-0.64326,2.4748,-2.9452,-1.0276,1
5.0691,0.21313,0.20278,1.2095,0
4.3846,-4.8794,3.3662,-0.029324,0
1.1644,3.8095,-4.9408,-4.0909,1
-2.4458,1.6285,-0.88541,-1.4802,1
4.1542,7.2756,-2.4766,-1.2099,0
-1.8187,-9.0366,9.0162,-0.12243,1
-2.3142,-0.68494,1.9833,-0.44829,1
-0.88728,2.808,-3.1432,-1.2035,1
-2.4561,-4.5566,6.4534,-0.056479,1
0.26877,4.987,-5.1508,-6.3913,1
1.1676,9.1566,-2.0867,-0.80647,0
-5.0477,-5.8023,11.244,-0.3901,1
2.483,6.6155,-0.79287,-0.90863,0
-2.2153,11.9625,0.078538,-7.7853,0
0.98296,3.4226,-3.9692,-1.7116,1
3.9292,-2.9156,2.2129,0.30817,0
-0.0012852,0.13863,-0.19651,0.0081754,1
-3.8483,-12.8047,15.6824,-1.281,1
3.9362,10.1622,-3.8235,-4.0172,0
-1.9881,0.99945,-0.28562,-0.70044,1
-2.1652,3.0211,-2.4132,-2.4241,1
-0.8734,-0.033118,-0.20165,0.55774,1
-3.0986,-10.4602,8.9717,-2.3427,1
-1.9389,1.5706,0.045979,-1.122,1
3.744,0.79459,0.95851,1.0077,0
-2.6479,10.1374,-1.331,-5.4707,0
5.7353,5.2808,-2.2598,0.075416,0
4.0127,10.1477,-3.9366,-4.0728,0
-1.8584,7.886,-1.6643,-1.8384,0
-0.77688,0.13036,-0.031137,-0.35389,1
-0.70867,-5.5602,4.0483,0.903,1
-1.3,10.2678,-2.953,-5.8638,0
4.0296,2.6756,0.80685,0.71679,0
-2.4349,-9.2497,8.9922,-0.50001,1
-0.75793,2.5349,-3.0464,-1.2629,1
0.95626,2.4728,4.4578,0.21636,0
-0.2361,9.3221,2.1307,-4.3793,0
0.11592,3.2219,-3.4302,-2.8457,1
0.33111,4.5731,2.057,-0.18967,0
-0.24811,-0.17797,4.9068,0.15429,0
1.2247,8.7779,-2.2135,-0.80647,0
-2.0336,-1.4092,1.1582,0.36507,1
4.0524,5.6802,-1.9693,0.026279,0
4.0329,0.23175,0.89082,1.1823,0
2.2429,-4.1427,5.2333,-0.40173,0
4.3848,-3.0729,3.0423,1.2741,0
-4.577,3.4515,0.66719,-0.94742,1
2.994,7.2011,-1.2153,0.3211,0
2.2034,5.9947,0.53009,0.84998,0
0.31803,-0.99326,1.0947,0.88619,1
0.60731,3.9544,-4.772,-4.4853,1
2.1274,5.1939,-1.7971,-1.1763,0
0.74067,1.7299,-3.1963,-0.1457,1
-1.3066,0.25244,0.7623,1.7758,1
0.32924,-4.4552,4.5718,-0.9888,0
-2.4621,2.7645,-0.62578,-2.8573,1
4.0215,-2.1914,2.4648,1.1409,0
3.5251,0.7201,1.6928,0.64438,0
0.64295,7.1018,0.3493,-0.41337,0
-0.16682,5.8974,0.49839,-0.70044,0
1.8799,2.4707,2.4931,0.37671,0
-1.6988,-7.1163,5.7902,0.16723,1
-0.23356,3.2405,-3.0669,-2.7784,1
0.1848,6.5079,2.0133,-0.87242,0
-0.78689,9.5663,-3.7867,-7.5034,0
-5.9034,6.5679,0.67661,-6.6797,1
3.1836,7.2321,-1.0713,-2.5909,0
1.8994,0.97462,4.2265,0.81377,0
3.6582,5.6864,-1.7157,-0.23751,0
3.4312,6.2637,-1.9513,-0.36165,0
-4.7331,-6.1789,11.388,-1.0741,1
3.7767,9.7794,-3.9075,-3.5323,0
-1.5768,10.843,2.5462,-2.9362,0
0.96788,7.1907,1.2798,-2.4565,0
-3.3458,-0.50491,2.6328,0.53705,1
1.4378,0.66837,-2.0267,1.0271,1
0.72252,-0.053811,5.6703,-1.3509,0
-0.2062,9.2207,-3.7044,-6.8103,0
-0.47465,-4.3496,1.9901,0.7517,1
2.108,6.7955,-0.1708,0.4905,0
2.7659,0.66216,4.1494,-0.28406,0
0.94225,5.8561,1.8762,-0.32544,0
2.7831,10.9796,-3.557,-4.4039,0
0.12126,0.22347,-0.47327,0.97024,1
-3.2305,-7.2135,11.6433,-0.94613,1
-0.45062,-1.3678,7.0858,-0.40303,0
2.4008,9.3593,-3.3565,-3.3526,0
1.518,5.6946,0.094818,-0.026738,0
3.5982,7.1307,-1.3035,0.21248,0
-4.3967,4.9601,-0.64892,-5.4719,1
2.031,1.852,-3.0121,0.003003,1
0.0071249,8.3661,0.50781,-3.8155,0
-2.4725,-0.40145,1.4855,1.1189,1
-3.1366,0.42212,2.6225,-0.064238,1
3.2697,-4.3414,3.6884,-0.29829,0
-1.7886,-6.3486,5.6154,0.42584,1
-6.3364,9.2848,0.014275,-6.7844,1
0.96414,5.616,2.2138,-0.12501,0
-3.5741,3.944,-0.07912,-2.1203,1
1.208,4.0744,-4.7635,-2.6129,1
4.7181,10.0153,-3.9486,-3.8582,0
2.0153,1.8479,3.1375,0.42843,0
-3.8552,3.5219,-0.38415,-3.8608,1
5.8782,5.9409,-2.8544,-0.60863,0
-1.4628,-1.5706,2.4357,0.49826,1
-1.6514,-8.4985,9.1122,1.2379,1
1.8993,7.6625,0.15394,-3.1108,0
3.9121,2.9735,0.92852,0.60558,0
1.0552,1.1857,-2.6411,0.11033,1
2.1059,7.6046,-0.47755,-1.8461,0
-1.9177,11.6894,2.5454,-3.2763,0
0.32444,10.067,-1.1982,-4.1284,0
3.4626,-4.449,3.5427,0.15429,0
1.5701,7.9129,0.29018,-2.1953,0
-1.0941,2.3072,-2.5237,-1.4453,1
1.5478,9.1814,-1.6326,-1.7375,0
-1.2424,-1.7175,-0.52553,-0.21036,1
3.0333,-2.5928,2.3183,0.303,0
4.9923,7.8653,-2.3515,-0.71984,0
4.0972,0.46972,1.6671,0.91593,0
-4.244,-13.0634,17.1116,-2.8017,1
2.3729,10.4726,-3.0087,-3.2013,0
2.6881,6.0195,-0.46641,-0.69268,0
-0.0068919,9.2931,-0.41243,-1.9638,0
-4.2887,-7.8633,11.8387,-1.8978,1
-2.2625,-0.099335,2.8127,0.48662,1
-1.6706,-2.09,1.584,0.71162,1
0.18868,0.70148,-0.51182,0.0055892,1
3.8244,-3.1081,2.4537,0.52024,0
0.77445,9.0552,-2.4089,-1.3884,0
4.65,-4.8297,3.4553,-0.25174,0
-0.12196,8.8068,0.94566,-4.2267,0
1.3451,0.23589,-1.8785,1.3258,1
-1.2846,3.2715,-1.7671,-3.2608,1
2.5068,1.1588,3.9249,0.12585,0
4.3398,-5.3036,3.8803,-0.70432,0
1.1432,-3.7413,5.5777,-0.63578,0
3.4465,2.9508,1.0271,0.5461,0
-2.2173,1.4671,-0.72689,-1.1724,1
-4.1409,3.4619,-0.47841,-3.8879,1
4.1605,11.2196,-3.6136,-4.0819,0
3.577,2.4004,1.8908,0.73231,0
0.74428,-3.7723,1.6131,1.5754,1
0.88872,5.3449,2.045,-0.19355,0
0.3434,0.12415,-0.28733,0.14654,1
4.8265,0.80287,1.6371,1.1875,0
-1.9458,11.2217,1.9079,-3.4405,0
-2.659,-1.6058,1.3647,0.16464,1
1.3234,3.2964,0.2362,-0.11984,0
-4.7462,3.1205,1.075,-1.2966,1
4.1711,8.722,-3.0224,-0.59699,0
2.6799,3.1349,0.34073,0.58489,0
-0.49281,3.0605,-1.8356,-2.834,1
-3.2692,-12.7406,15.5573,-0.14182,1
-2.7769,-5.6967,5.9179,0.37671,1
-4.5531,-12.5854,15.4417,-1.4983,1
-2.5463,3.1101,-0.83228,-3.0358,1
-0.13144,-1.7775,8.3316,0.35214,0
0.19081,9.1297,-3.725,-5.8224,0
-2.4473,12.6247,0.73573,-7.6612,0
4.6014,5.6264,-2.1235,0.19309,0
3.9382,0.9291,0.78543,0.6767,0
-1.9725,2.8825,-2.3086,-2.3724,1
0.3292,-4.4552,4.5718,-0.9888,0
0.11032,1.9741,-3.3668,-0.65259,1
-0.77288,-7.4473,6.492,0.36119,1
3.8846,-3.0336,2.5334,0.20214,0
4.1195,10.9258,-3.8929,-4.1802,0
-2.2918,-7.257,7.9597,0.9211,1
0.14329,-1.0885,1.0039,0.48791,1
4.2406,-2.4852,1.608,0.7155,0
-1.749,-6.332,6.0987,0.14266,1
0.63655,5.2022,-5.2159,-6.1211,1
3.1219,-3.137,1.9259,-0.37458,0
-4.2249,6.2699,0.15822,-5.5457,1
-0.36025,-4.449,2.1067,0.94308,1
4.8906,-3.3584,3.4202,1.0905,0
4.4295,-2.3507,1.7048,0.90946,0
-1.3612,10.694,1.7022,-2.9026,0
-0.33729,-0.64976,7.6659,0.72326,0
-3.793,-12.7095,12.7957,-2.825,1
-2.8267,-9.0407,9.0694,-0.98233,1
-3.3604,-0.32696,2.1324,0.6017,1
4.1757,10.2615,-3.8552,-4.3056,0
1.3349,6.1189,0.46497,0.49826,0
4.1529,-3.9358,2.8633,-0.017686,0
4.2969,7.617,-2.3874,-0.96164,0
-1.48,-10.5244,9.9176,-0.5026,1
-0.60254,1.7237,-2.1501,-0.77027,1
0.5706,-0.024841,1.2421,-0.56208,0
